netflix_condense table contents

title;type;listed_in;rating;country;date_added;release_year;duration
"Alien Xmas";Movie;"Children & Family Movies";TV-Y;"United States";20-Nov-20;2020;"42 min"
"If Anything Happens I Love You";Movie;Dramas;PG;"United States";20-Nov-20;2020;"13 min"
"The App That Stole Christmas";Movie;"Children & Family Movies, Comedies";TV-PG;"United States";20-Nov-20;2020;"64 min"
"Voices of Fire";"TV Show";"Docuseries, Reality TV";TV-PG;"United States";20-Nov-20;2020;"1 Season"
"The Princess Switch: Switched Again";Movie;"Children & Family Movies, Comedies, Dramas";TV-G;"United States";19-Nov-20;2020;"97 min"
"Holiday Home Makeover with Mr. Christmas";"TV Show";"Reality TV";TV-G;"United States";18-Nov-20;2020;"1 Season"
"Kevin Hart: Zero F**ks Given";Movie;"Stand-Up Comedy";TV-MA;"United States";17-Nov-20;2020;"70 min"
"The Boss Baby: Back in Business";"TV Show";"Kids' TV, TV Comedies";TV-Y7;"United States";17-Nov-20;2020;"4 Seasons"
"We Are the Champions";"TV Show";"Docuseries, Reality TV";TV-MA;"United States";17-Nov-20;2020;"1 Season"
"Osmosis Jones";Movie;"Action & Adventure, Children & Family Movies, Comedies";PG;"United States";1-Sep-21;2001;"95 min"
"Whose Streets?";Movie;Documentaries;R;"United States";16-Nov-20;2017;"102 min"
"America's Next Top Model";"TV Show";"Reality TV";TV-14;"United States";15-Nov-20;2013;"2 Seasons"
"Cloudy with a Chance of Meatballs 2";Movie;"Children & Family Movies, Comedies";PG;"United States";15-Nov-20;2013;"95 min"
Survivor;"TV Show";"Reality TV";TV-14;"United States";15-Nov-20;2014;"2 Seasons"
Poseidon;Movie;"Action & Adventure, Dramas";PG-13;"United States";1-Sep-21;2006;"98 min"
"White Christmas";Movie;"Children & Family Movies, Classic Movies, Comedies";TV-G;"United States";15-Nov-20;1954;"120 min"
"Killer Cove";Movie;Thrillers;TV-14;"United States";14-Nov-20;2019;"87 min"
"American Horror Story";"TV Show";"TV Horror, TV Mysteries, TV Thrillers";TV-MA;"United States";13-Nov-20;2019;"9 Seasons"
"Jingle Jangle: A Christmas Journey";Movie;"Children & Family Movies, Music & Musicals";PG;"United States";13-Nov-20;2020;"124 min"
"Fruitvale Station";Movie;"Dramas, Independent Movies";R;"United States";12-Nov-20;2013;"85 min"
"The Liberator";"TV Show";"TV Action & Adventure, TV Dramas";TV-MA;"United States";11-Nov-20;2020;"1 Season"
"Trial 4";"TV Show";"Crime TV Shows, Docuseries";TV-MA;"United States";11-Nov-20;2020;"1 Season"
"Same Kind of Different as Me";Movie;"Dramas, Faith & Spirituality";PG-13;"United States";1-Sep-21;2017;"120 min"
"A Lion in the House";"TV Show";"TV Shows";TV-14;"United States";10-Nov-20;2006;"1 Season"
"DASH & LILY";"TV Show";"Romantic TV Shows, TV Comedies, TV Dramas";TV-14;"United States";10-Nov-20;2020;"1 Season"
"Country Ever After";"TV Show";"Reality TV";TV-PG;"United States";6-Nov-20;2020;"1 Season"
"The Late Bloomer";Movie;Comedies;R;"United States";6-Nov-20;2016;"95 min"
"A New York Christmas Wedding";Movie;"Dramas, LGBTQ Movies, Romantic Movies";TV-MA;"United States";5-Nov-20;2020;"90 min"
"Operation Christmas Drop";Movie;"Children & Family Movies, Comedies, Romantic Movies";TV-G;"United States";5-Nov-20;2020;"96 min"
"Snervous Tyler Oakley";Movie;"Documentaries, LGBTQ Movies";PG-13;"United States";1-Sep-21;2015;"83 min"
"60 Days In";"TV Show";"Reality TV";TV-MA;"United States";1-Nov-20;2019;"1 Season"
"Tears of the Sun";Movie;"Action & Adventure, Dramas";R;"United States";1-Sep-21;2003;"121 min"
"Christmas Break-In";Movie;"Children & Family Movies, Comedies";TV-PG;"United States";1-Nov-20;2019;"87 min"
"Dawson's Creek";"TV Show";"Romantic TV Shows, TV Dramas, Teen TV Shows";TV-14;"United States";1-Nov-20;2002;"6 Seasons"
"Elf Pets: A Fox Cub?s Christmas Tale";Movie;"Children & Family Movies";TV-Y;"United States";1-Nov-20;2020;"28 min"
"Elf Pets: Santa?s Reindeer Rescue";Movie;"Children & Family Movies";TV-Y;"United States";1-Nov-20;2020;"27 min"
"Forged in Fire";"TV Show";"Reality TV";TV-14;"United States";1-Nov-20;2019;"1 Season"
"Leah Remini: Scientology and the Aftermath";"TV Show";Docuseries;TV-14;"United States";1-Nov-20;2018;"3 Seasons"
"LEGO Jurassic World: Legend of Isla Nublar";"TV Show";"Kids' TV";TV-Y;"United States";1-Nov-20;2019;"1 Season"
"LEGO Jurassic World: Secret Exhibit";"TV Show";"Kids' TV";TV-Y;"United States";1-Nov-20;2018;"1 Season"
"The Blue Lagoon";Movie;"Dramas, Romantic Movies";R;"United States";1-Sep-21;1980;"105 min"
"Little Monsters";Movie;"Children & Family Movies, Comedies";PG;"United States";1-Nov-20;1989;"102 min"
Piercing;Movie;"Dramas, Independent Movies, Thrillers";R;"United States";1-Nov-20;2018;"81 min"
"The Golden Child";Movie;"Action & Adventure, Comedies";PG-13;"United States";1-Sep-21;1986;"94 min"
"Wheels of Fortune";Movie;"Comedies, Sports Movies";R;"United States";1-Nov-20;2020;"107 min"
"Hidden in Plain Sight";Movie;"Dramas, Independent Movies, Thrillers";TV-14;"United States";30-Oct-20;2019;"87 min"
"Marvel's Agents of S.H.I.E.L.D.";"TV Show";"TV Action & Adventure, TV Sci-Fi & Fantasy";TV-14;"United States";30-Oct-20;2020;"7 Seasons"
"Somebody Feed Phil";"TV Show";"Docuseries, Reality TV";TV-14;"United States";30-Oct-20;2020;"4 Seasons"
Holidate;Movie;"Comedies, Romantic Movies";TV-MA;"United States";28-Oct-20;2020;"105 min"
"Metallica Through The Never";Movie;"Music & Musicals";R;"United States";28-Oct-20;2013;"93 min"
"The Interview";Movie;"Action & Adventure, Comedies";R;"United States";1-Sep-21;2014;"112 min"
"Secrets of the Saqqara Tomb";Movie;Documentaries;TV-PG;"United States";28-Oct-20;2020;"114 min"
"Blood of Zeus";"TV Show";"Anime Series";TV-MA;"United States";27-Oct-20;2020;"1 Season"
"Chico Bon Bon: Monkey with a Tool Belt";"TV Show";"Kids' TV";TV-Y;"United States";27-Oct-20;2020;"4 Seasons"
"Sarah Cooper: Everything's Fine";Movie;Comedies;TV-MA;"United States";27-Oct-20;2020;"50 min"
"The Nutty Professor";Movie;"Comedies, Romantic Movies";PG-13;"United States";1-Sep-21;1996;"95 min"
Move;"TV Show";"Docuseries, International TV Shows";TV-MA;"United States";23-Oct-20;2020;"1 Season"
"Shattered Memories";Movie;"Dramas, Thrillers";TV-14;"United States";23-Oct-20;2018;"86 min"
"The Queen's Gambit";"TV Show";"TV Dramas";TV-MA;"United States";23-Oct-20;2020;"1 Season"
"Bending the Arc";Movie;Documentaries;TV-MA;"United States";22-Oct-20;2017;"102 min"
"Yes, God, Yes";Movie;"Comedies, Dramas, Independent Movies";R;"United States";22-Oct-20;2020;"78 min"
"My Next Guest Needs No Introduction With David Letterman";"TV Show";"Stand-Up Comedy & Talk Shows";TV-MA;"United States";21-Oct-20;2020;"3 Seasons"
"Tremors: Shrieker Island";Movie;"Action & Adventure, Horror Movies";PG-13;"United States";20-Oct-20;2020;"102 min"
"Welcome Home Roscoe Jenkins";Movie;Comedies;PG-13;"United States";1-Sep-21;2008;"114 min"
ParaNorman;Movie;"Children & Family Movies, Comedies";PG;"United States";18-Oct-20;2012;"93 min"
"Grand Army";"TV Show";"TV Dramas, Teen TV Shows";TV-MA;"United States";16-Oct-20;2020;"1 Season"
"In a Valley of Violence";Movie;"Action & Adventure";R;"United States";16-Oct-20;2016;"104 min"
"In the Line of Fire";Movie;"Action & Adventure, Classic Movies";R;"United States";31-Aug-21;1993;"129 min"
"The Last Kids on Earth";"TV Show";"Kids' TV, TV Comedies";TV-Y7;"United States";16-Oct-20;2020;"3 Seasons"
"A Babysitter's Guide to Monster Hunting";Movie;"Children & Family Movies";TV-PG;"United States";15-Oct-20;2020;"99 min"
"Batman: The Killing Joke";Movie;"Action & Adventure";R;"United States";15-Oct-20;2016;"77 min"
"Half & Half";"TV Show";"TV Comedies";TV-14;"United States";15-Oct-20;2005;"4 Seasons"
"Sparking Joy";"TV Show";"Reality TV";TV-PG;"United States";31-Aug-21;2021;"1 Season"
"One on One";"TV Show";"TV Comedies, Teen TV Shows";TV-14;"United States";15-Oct-20;2006;"5 Seasons"
"Power Rangers Beast Morphers";"TV Show";"Kids' TV";TV-Y7;"United States";15-Oct-20;2020;"2 Seasons"
"Social Distance";"TV Show";"TV Comedies, TV Dramas";TV-MA;"United States";15-Oct-20;2020;"1 Season"
"BLACKPINK: Light Up the Sky";Movie;"Documentaries, Music & Musicals";TV-14;"United States";14-Oct-20;2020;"80 min"
"The Cabin with Bert Kreischer";"TV Show";"Reality TV, TV Comedies";TV-MA;"United States";13-Oct-20;2020;"1 Season"
"Kipo and the Age of Wonderbeasts";"TV Show";"Kids' TV, TV Comedies";TV-Y7;"United States";12-Oct-20;2020;"3 Seasons"
"House of the Witch";Movie;"Horror Movies";TV-MA;"United States";11-Oct-20;2017;"86 min"
